"DIA","MES","PERIODO","accidentes"
22,7,2015,108
23,7,2015,115
24,7,2015,120
25,7,2015,124
26,7,2015,60
27,7,2015,129
28,7,2015,132
29,7,2015,140
30,7,2015,119
31,7,2015,128
1,8,2015,111
2,8,2015,96
3,8,2015,141
4,8,2015,138
5,8,2015,144
6,8,2015,139
7,8,2015,94
8,8,2015,131
9,8,2015,79
10,8,2015,119
11,8,2015,128
12,8,2015,101
13,8,2015,114
14,8,2015,139
15,8,2015,128
16,8,2015,90
17,8,2015,73
18,8,2015,179
19,8,2015,110
20,8,2015,118
21,8,2015,105
22,8,2015,88
23,8,2015,68
24,8,2015,141
25,8,2015,115
26,8,2015,120
27,8,2015,126
28,8,2015,174
29,8,2015,128
30,8,2015,83
31,8,2015,118
1,9,2015,125
2,9,2015,127
3,9,2015,123
4,9,2015,147
5,9,2015,106
6,9,2015,91
7,9,2015,136
8,9,2015,103
9,9,2015,129
10,9,2015,147
11,9,2015,158
12,9,2015,125
13,9,2015,87
14,9,2015,149
15,9,2015,118
16,9,2015,127
17,9,2015,157
18,9,2015,156
19,9,2015,123
20,9,2015,71
21,9,2015,136
22,9,2015,110
23,9,2015,110
24,9,2015,139
25,9,2015,123
26,9,2015,105
27,9,2015,78
28,9,2015,122
29,9,2015,122
30,9,2015,134
1,10,2015,143
2,10,2015,133
3,10,2015,110
4,10,2015,77
5,10,2015,125
6,10,2015,134
7,10,2015,116
8,10,2015,115
9,10,2015,109
10,10,2015,121
11,10,2015,69
12,10,2015,67
13,10,2015,155
14,10,2015,106
15,10,2015,119
16,10,2015,137
17,10,2015,128
18,10,2015,75
19,10,2015,140
20,10,2015,136
21,10,2015,117
22,10,2015,121
23,10,2015,115
24,10,2015,112
25,10,2015,62
26,10,2015,107
27,10,2015,98
28,10,2015,108
29,10,2015,131
30,10,2015,151
31,10,2015,125
1,11,2015,71
2,11,2015,56
3,11,2015,116
4,11,2015,117
5,11,2015,132
6,11,2015,129
7,11,2015,118
8,11,2015,70
9,11,2015,109
10,11,2015,144
11,11,2015,140
12,11,2015,106
13,11,2015,127
14,11,2015,93
15,11,2015,63
16,11,2015,71
17,11,2015,137
18,11,2015,129
19,11,2015,119
20,11,2015,126
21,11,2015,107
22,11,2015,79
23,11,2015,133
24,11,2015,119
25,11,2015,124
26,11,2015,127
27,11,2015,127
28,11,2015,120
29,11,2015,67
30,11,2015,109
1,12,2015,132
2,12,2015,131
3,12,2015,147
4,12,2015,117
5,12,2015,139
6,12,2015,58
7,12,2015,154
8,12,2015,94
9,12,2015,126
10,12,2015,127
11,12,2015,107
12,12,2015,135
13,12,2015,92
14,12,2015,136
15,12,2015,136
16,12,2015,154
17,12,2015,113
18,12,2015,133
19,12,2015,124
20,12,2015,95
21,12,2015,117
22,12,2015,134
23,12,2015,116
24,12,2015,122
25,12,2015,60
26,12,2015,74
27,12,2015,59
28,12,2015,89
29,12,2015,96
30,12,2015,110
31,12,2015,72
1,1,2016,61
2,1,2016,56
3,1,2016,56
4,1,2016,87
5,1,2016,85
6,1,2016,88
7,1,2016,90
8,1,2016,93
9,1,2016,71
10,1,2016,62
11,1,2016,51
12,1,2016,102
13,1,2016,111
14,1,2016,98
15,1,2016,106
16,1,2016,119
17,1,2016,60
18,1,2016,127
19,1,2016,128
20,1,2016,125
21,1,2016,105
22,1,2016,130
23,1,2016,96
24,1,2016,69
25,1,2016,110
26,1,2016,120
27,1,2016,122
28,1,2016,114
29,1,2016,132
30,1,2016,98
31,1,2016,75
1,2,2016,121
2,2,2016,143
3,2,2016,124
4,2,2016,128
5,2,2016,118
6,2,2016,128
7,2,2016,84
8,2,2016,123
9,2,2016,126
10,2,2016,123
11,2,2016,166
12,2,2016,99
13,2,2016,120
14,2,2016,66
15,2,2016,119
16,2,2016,119
17,2,2016,168
18,2,2016,130
19,2,2016,140
20,2,2016,137
21,2,2016,68
22,2,2016,129
23,2,2016,113
24,2,2016,105
25,2,2016,110
26,2,2016,126
27,2,2016,116
28,2,2016,68
29,2,2016,129
1,3,2016,134
2,3,2016,96
3,3,2016,113
4,3,2016,121
5,3,2016,148
6,3,2016,77
7,3,2016,153
8,3,2016,123
9,3,2016,114
10,3,2016,155
11,3,2016,155
12,3,2016,124
13,3,2016,78
14,3,2016,151
